config_0,config_1,config_2,config_3
[ 1.5731485 -0.6609813  1.7176402 -1.416322  -1.5975593 -0.0611776],[ 0.22065723 -0.23920044  1.5304059  -1.0330449   4.573637   -0.9394275 ],[ 1.5442388 -0.5264875  1.4479795 -1.3544645 -1.5405805  3.0064385],[ 3.4320238 -1.3305681  2.2891285  1.3698504  2.1050909 -2.488114 ]
[ 1.5731485 -0.6609813  1.7176402 -1.416322  -1.5975593 -0.0611776],[ 0.22065723 -0.23920044  1.5304059  -1.0330449   4.573637   -0.9394275 ],[ 1.5442388 -0.5264875  1.4479795 -1.3544645 -1.5405805  3.0064385],[ 3.4320238 -1.3305681  2.2891285  1.3698504  2.1050909 -2.488114 ]
[ 1.5731485 -0.6609813  1.7176402 -1.416322  -1.5975593 -0.0611776],[ 0.22065723 -0.23920044  1.5304059  -1.0330449   4.573637   -0.9394275 ],[ 1.5442388 -0.5264875  1.4479795 -1.3544645 -1.5405805  3.0064385],[ 3.4320238 -1.3305681  2.2891285  1.3698504  2.1050909 -2.488114 ]
[ 1.5731485 -0.6609813  1.7176402 -1.416322  -1.5975593 -0.0611776],[ 0.22065723 -0.23920044  1.5304059  -1.0330449   4.573637   -0.9394275 ],[ 1.5442388 -0.5264875  1.4479795 -1.3544645 -1.5405805  3.0064385],[ 3.4320238 -1.3305681  2.2891285  1.3698504  2.1050909 -2.488114 ]
[ 1.5731485 -0.6609813  1.7176402 -1.416322  -1.5975593 -0.0611776],[ 0.22065723 -0.23920044  1.5304059  -1.0330449   4.573637   -0.9394275 ],[ 1.5442388 -0.5264875  1.4479795 -1.3544645 -1.5405805  3.0064385],[ 3.4320238 -1.3305681  2.2891285  1.3698504  2.1050909 -2.488114 ]
[ 1.5731485 -0.6609813  1.7176402 -1.416322  -1.5975593 -0.0611776],[ 0.22065723 -0.23920044  1.5304059  -1.0330449   4.573637   -0.9394275 ],[ 1.5442388 -0.5264875  1.4479795 -1.3544645 -1.5405805  3.0064385],[ 3.4320238 -1.3305681  2.2891285  1.3698504  2.1050909 -2.488114 ]
[ 1.5731485 -0.6609813  1.7176402 -1.416322  -1.5975593 -0.0611776],[ 0.22065723 -0.23920044  1.5304059  -1.0330449   4.573637   -0.9394275 ],[ 1.5442388 -0.5264875  1.4479795 -1.3544645 -1.5405805  3.0064385],[ 3.4320238 -1.3305681  2.2891285  1.3698504  2.1050909 -2.488114 ]
[ 1.5731485 -0.6609813  1.7176402 -1.416322  -1.5975593 -0.0611776],[ 0.22065723 -0.23920044  1.5304059  -1.0330449   4.573637   -0.9394275 ],[ 1.5442388 -0.5264875  1.4479795 -1.3544645 -1.5405805  3.0064385],[ 3.4320238 -1.3305681  2.2891285  1.3698504  2.1050909 -2.488114 ]
[ 1.5731485 -0.6609813  1.7176402 -1.416322  -1.5975593 -0.0611776],[ 0.22065723 -0.23920044  1.5304059  -1.0330449   4.573637   -0.9394275 ],[ 1.5442388 -0.5264875  1.4479795 -1.3544645 -1.5405805  3.0064385],[ 3.4320238 -1.3305681  2.2891285  1.3698504  2.1050909 -2.488114 ]
[ 1.6847879  -0.8331286   1.7858361  -1.9397347  -1.509279    0.23466921],[ 0.33556366 -0.37301892  1.653627    4.994371    5.055305   -0.76146424],[ 1.5448874 -0.5173269  1.1755004 -0.8363422 -1.600341  -3.4953165],[ 3.6710315 -1.0296389  2.1325557 -5.1898055  2.371646  -2.6595762]
