generation,piece1,piece2,piece3,piece4
49,98.88935619425837,876.6489041401651,114.37382394229695,138.82922069046978
50,98.88935619425837,876.6489041401651,114.37382394229695,138.82922069046978
51,98.88935619425837,876.6489041401651,114.37382394229695,138.82922069046978
52,98.88935619425837,876.6489041401651,114.37382394229695,138.82922069046978
53,98.88935619425837,876.6489041401651,114.37382394229695,138.82922069046978
54,98.88935619425837,876.6489041401651,114.37382394229695,138.82922069046978
55,98.88935619425837,876.6489041401651,114.37382394229695,138.82922069046978
56,98.58298333351422,864.267165860072,114.7335337702772,136.11845557549924
57,98.58298333351422,864.267165860072,114.7335337702772,136.11845557549924
58,98.58298333351422,864.267165860072,114.7335337702772,136.11845557549924
59,98.58298333351422,864.267165860072,114.7335337702772,136.11845557549924
60,98.58298333351422,864.267165860072,114.7335337702772,136.11845557549924
61,98.58298333351422,864.267165860072,114.7335337702772,136.11845557549924
62,98.58298333351422,864.267165860072,114.7335337702772,136.11845557549924
63,98.58298333351422,864.267165860072,114.7335337702772,136.11845557549924
64,98.58298333351422,864.267165860072,114.7335337702772,136.11845557549924
65,98.58298333351422,864.267165860072,114.7335337702772,136.11845557549924
66,98.58298333351422,864.267165860072,114.7335337702772,136.11845557549924
67,98.58298333351422,864.267165860072,114.7335337702772,136.11845557549924
68,98.58298333351422,864.267165860072,114.7335337702772,136.11845557549924
69,98.58298333351422,864.267165860072,114.7335337702772,136.11845557549924
70,98.58298333351422,864.267165860072,114.7335337702772,136.11845557549924
71,98.58298333351422,864.267165860072,114.7335337702772,136.11845557549924
72,98.58298333351422,864.267165860072,114.7335337702772,136.11845557549924
73,98.58298333351422,864.267165860072,114.7335337702772,136.11845557549924
74,98.58298333351422,864.267165860072,114.7335337702772,136.11845557549924
75,98.58298333351422,864.267165860072,114.7335337702772,136.11845557549924
76,98.58298333351422,864.267165860072,114.7335337702772,136.11845557549924
77,98.58298333351422,864.267165860072,114.7335337702772,136.11845557549924
78,98.58298333351422,864.267165860072,114.7335337702772,136.11845557549924
79,98.58298333351422,864.267165860072,114.7335337702772,136.11845557549924
80,98.58298333351422,864.267165860072,114.7335337702772,136.11845557549924
81,98.58298333351422,864.267165860072,114.7335337702772,136.11845557549924
82,98.58298333351422,864.267165860072,114.7335337702772,136.11845557549924
83,98.58298333351422,864.267165860072,114.7335337702772,136.11845557549924
84,98.58298333351422,864.267165860072,114.7335337702772,136.11845557549924
85,98.58298333351422,864.267165860072,114.7335337702772,136.11845557549924
86,98.58298333351422,864.267165860072,114.7335337702772,136.11845557549924
87,98.58298333351422,864.267165860072,114.7335337702772,136.11845557549924
88,98.58298333351422,864.267165860072,114.7335337702772,136.11845557549924
