q1,q2,q3,q4,q5,q6
5.191820672785422627e-03,4.437081641812678362e-02,-9.335936391510904486e-02,-6.755948122348344681e-05,-4.537584467200724003e-02,3.599143456201279838e-03
4.540884109038747889e-03,4.592143986281187196e-02,-9.756343061021577334e-02,2.486309925800214400e-04,-4.661632258260156592e-02,2.867458396071827492e-03
3.675736330496642834e-03,4.693111084924114773e-02,-1.001944609709492784e-01,3.570800777782773250e-04,-4.746810053926375783e-02,2.187630583724911593e-03
2.549077593574237792e-03,4.728038225790900939e-02,-1.009051145681262446e-01,2.119166259954528570e-04,-4.784535013112239249e-02,1.571110561213502014e-03
1.422418856651842291e-03,4.762965366657687105e-02,-1.016157681653032108e-01,6.675317421262963588e-05,-4.822259972298102715e-02,9.545905387020980730e-04
-7.146963887101642245e-05,4.657754547895934932e-02,-9.832981339798958775e-02,1.034934774423844356e-04,-4.756388935461804829e-02,-9.412205264660341696e-05
-1.603916745303469700e-03,4.537829439422143285e-02,-9.462422034354409095e-02,1.593334204603785915e-04,-4.679640463970985431e-02,-1.188214259103438728e-03
-3.263658017968450956e-03,4.448249312710064046e-02,-9.161556055879289950e-02,-1.427481805978189763e-04,-4.631764778122973714e-02,-2.022363066165852423e-03
-5.139941609683816755e-03,4.410289561987990742e-02,-8.979246607456038698e-02,-1.053696342361385135e-03,-4.633005089854493053e-02,-2.414317637666577119e-03
-7.016225201399165640e-03,4.372329811265917437e-02,-8.796937159032790221e-02,-1.964644504124942945e-03,-4.634245401586011698e-02,-2.806272209167298345e-03
-7.927493396600874404e-03,4.349006509738444909e-02,-8.625803148801519660e-02,7.709122102831692490e-04,-4.658117250260905562e-02,-6.062393473202128645e-03
-8.683761232227086430e-03,4.328034108410332148e-02,-8.456464132665073019e-02,4.092168975748893336e-03,-4.685624166704287219e-02,-9.778555964383433760e-03
-1.083501555840715030e-02,4.332130727030378270e-02,-8.332880791436918233e-02,3.520055644149935013e-03,-4.741508655674006589e-02,-1.068342406907314690e-02
-1.467054170839205036e-02,4.374263643625152936e-02,-8.275933388609474362e-02,-1.523165940229205626e-03,-4.841549982718350992e-02,-8.415433729345391314e-03
-1.644190290663042481e-02,4.414475342444763167e-02,-8.202858766168127924e-02,2.344148574055242469e-04,-4.944399647572930018e-02,-1.130987221328277198e-02
-1.926368164846297901e-02,4.488210433542149519e-02,-8.179583944089778569e-02,-2.475408216681829611e-04,-5.089666042168537047e-02,-1.275493460726387362e-02
-2.225089460333909766e-02,4.585872309885406783e-02,-8.185517491753928343e-02,-2.712151476486513325e-04,-5.267699340879099246e-02,-1.475381816850035964e-02
-2.562922273068553650e-02,4.713138444784373271e-02,-8.227525354642201139e-02,-2.899559218112509728e-04,-5.486295557714570420e-02,-1.702197340163161612e-02
-2.951315635894500786e-02,4.875805137505549725e-02,-8.311271225761918124e-02,-3.545196053608689344e-04,-5.753944407897166463e-02,-1.958790226437777393e-02
-3.401411411661481310e-02,5.081258123439169605e-02,-8.443666284254570942e-02,-4.114266610385449753e-04,-6.081580713495306212e-02,-2.257855733174160204e-02
-3.931866058720354107e-02,5.339979323895903407e-02,-8.634960163017711687e-02,-4.906441094988267136e-04,-6.484557993271262977e-02,-2.609124635078570453e-02
