q1,q2,q3,q4,q5,q6
1.610728628765416337e+00,-1.531419197698404622e+00,2.176978092317575442e+00,-3.001355765309372980e+00,-1.599028918836727486e+00,-3.113349088306595291e+00
1.610692227852278391e+00,-1.531431547637980506e+00,2.176991304948054040e+00,-3.001357425734418438e+00,-1.599003213582385508e+00,-3.113374889581712157e+00
1.610653675844118116e+00,-1.531444622885185902e+00,2.177005291984127400e+00,-3.001359179122162324e+00,-1.598975989155272392e+00,-3.113402215322641720e+00
1.610612979030856762e+00,-1.531458420790848818e+00,2.177020050412366459e+00,-3.001361024595881055e+00,-1.598947249981971463e+00,-3.113431061042622350e+00
1.610570143702415580e+00,-1.531472938705798814e+00,2.177035577219342599e+00,-3.001362961278849273e+00,-1.598917000489066709e+00,-3.113461422254892863e+00
1.610525176148715598e+00,-1.531488173980864120e+00,2.177051869391627648e+00,-3.001364988294343839e+00,-1.598885245103142561e+00,-3.113493294472692519e+00
1.610478082659677845e+00,-1.531504123966874076e+00,2.177068923915793874e+00,-3.001367104765639837e+00,-1.598851988250782119e+00,-3.113526673209259688e+00
1.610428869525223128e+00,-1.531520786014657576e+00,2.177086737778410885e+00,-3.001369309816013242e+00,-1.598817234358570039e+00,-3.113561553977833185e+00
1.610377543035272696e+00,-1.531538157475043294e+00,2.177105307966052283e+00,-3.001371602568740027e+00,-1.598780987853089641e+00,-3.113597932291651826e+00
1.610324109479747801e+00,-1.531556235698860569e+00,2.177124631465288118e+00,-3.001373982147096164e+00,-1.598743253160925359e+00,-3.113635803663953983e+00
1.610268575148569248e+00,-1.531575018036937630e+00,2.177144705262691105e+00,-3.001376447674357184e+00,-1.598704034708660737e+00,-3.113675163607979357e+00
1.610210946331658066e+00,-1.531594501840103817e+00,2.177165526344831736e+00,-3.001378998273799503e+00,-1.598663336922879763e+00,-3.113716007636965433e+00
1.610151229318935728e+00,-1.531614684459187803e+00,2.177187091698281840e+00,-3.001381633068697763e+00,-1.598621164230166425e+00,-3.113758331264151913e+00
1.610089430400322819e+00,-1.531635563245018483e+00,2.177209398309613686e+00,-3.001384351182329269e+00,-1.598577521057104711e+00,-3.113802130002776725e+00
1.610025555865740587e+00,-1.531657135548424753e+00,2.177232443165398657e+00,-3.001387151737968662e+00,-1.598532411830278388e+00,-3.113847399366079571e+00
1.609959612005110063e+00,-1.531679398720235730e+00,2.177256223252207246e+00,-3.001390033858892359e+00,-1.598485840976271444e+00,-3.113894134867298380e+00
1.609891605108352497e+00,-1.531702350111280087e+00,2.177280735556612168e+00,-3.001392996668375890e+00,-1.598437812921667645e+00,-3.113942332019672410e+00
1.609821541465388695e+00,-1.531725987072386719e+00,2.177305977065184361e+00,-3.001396039289695672e+00,-1.598388332093051201e+00,-3.113991986336440032e+00
1.609749427366139907e+00,-1.531750306954384522e+00,2.177331944764495208e+00,-3.001399160846127234e+00,-1.598337402917005656e+00,-3.114043093330840062e+00
1.609675269100527162e+00,-1.531775307108102613e+00,2.177358635641116980e+00,-3.001402360460945662e+00,-1.598285029820115222e+00,-3.114095648516111314e+00
1.609599072958471488e+00,-1.531800984884369443e+00,2.177386046681620169e+00,-3.001405637257427372e+00,-1.598231217228963663e+00,-3.114149647405492605e+00
1.609520845229893915e+00,-1.531827337634014352e+00,2.177414174872577490e+00,-3.001408990358848783e+00,-1.598175969570135191e+00,-3.114205085512223192e+00
1.609440592204715470e+00,-1.531854362707865569e+00,2.177443017200559883e+00,-3.001412418888484979e+00,-1.598119291270213127e+00,-3.114261958349540116e+00
1.609358320172857404e+00,-1.531882057456752877e+00,2.177472570652138284e+00,-3.001415921969612377e+00,-1.598061186755781904e+00,-3.114320261430683967e+00
1.609274035424240745e+00,-1.531910419231504283e+00,2.177502832213885409e+00,-3.001419498725505619e+00,-1.598001660453425288e+00,-3.114379990268892673e+00
1.609187744248786078e+00,-1.531939445382949350e+00,2.177533798872372639e+00,-3.001423148279441566e+00,-1.597940716789727045e+00,-3.114441140377405048e+00
