q1,q2,q3,q4,q5,q6
1.554361135077142908e+00,-1.526818158257800651e+00,1.863095642683990416e+00,2.801904306723465687e+00,4.731952648766335479e+00,1.564642427630040578e+00
1.554363085588374105e+00,-1.526615527782437809e+00,1.863474378751867722e+00,2.801296406685226170e+00,4.731916288633032153e+00,1.564637685176920368e+00
1.554365036242315368e+00,-1.526411942921537923e+00,1.863854183777474027e+00,2.800686478605279639e+00,4.731879901740826178e+00,1.564632955568580286e+00
1.554366986859129218e+00,-1.526207419276675692e+00,1.864235025515041055e+00,2.800074572770395065e+00,4.731843491378079136e+00,1.564628239278239130e+00
1.554368937258979289e+00,-1.526001972449425148e+00,1.864616871718799640e+00,2.799460739467339643e+00,4.731807060833149947e+00,1.564623536779115254e+00
1.554370887262027656e+00,-1.525795618041360324e+00,1.864999690142981503e+00,2.798845028982880123e+00,4.731770613394398417e+00,1.564618848544427898e+00
1.554372836688438397e+00,-1.525588371654055697e+00,1.865383448541817701e+00,2.798227491603785477e+00,4.731734152350185241e+00,1.564614175047394973e+00
1.554374785358374034e+00,-1.525380248889085966e+00,1.865768114669539957e+00,2.797608177616822012e+00,4.731697680988871113e+00,1.564609516761235053e+00
1.554376733091997753e+00,-1.525171265348024940e+00,1.866153656280379325e+00,2.796987137308758253e+00,4.731661202598814064e+00,1.564604874159167158e+00
1.554378679709472300e+00,-1.524961436632446876e+00,1.866540041128567307e+00,2.796364420966360509e+00,4.731624720468375678e+00,1.564600247714409642e+00
1.554380625030960639e+00,-1.524750778343926472e+00,1.866927236968335402e+00,2.795740078876397305e+00,4.731588237885915760e+00,1.564595637900180636e+00
1.554382568876626181e+00,-1.524539306084037538e+00,1.867315211553914667e+00,2.795114161325636282e+00,4.731551758139792341e+00,1.564591045189699825e+00
1.554384511066631669e+00,-1.524327035454354551e+00,1.867703932639536379e+00,2.794486718600843744e+00,4.731515284518368780e+00,1.564586470056184675e+00
1.554386451421140070e+00,-1.524113982056452432e+00,1.868093367979432262e+00,2.793857800988789553e+00,4.731478820310002220e+00,1.564581912972854205e+00
1.554388389760314793e+00,-1.523900161491904326e+00,1.868483485327834037e+00,2.793227458776238681e+00,4.731442368803053355e+00,1.564577374412926991e+00
1.554390325904318582e+00,-1.523685589362284931e+00,1.868874252438972094e+00,2.792595742249960100e+00,4.731405933285884657e+00,1.564572854849621608e+00
1.554392259673314403e+00,-1.523470281269169169e+00,1.869265637067078156e+00,2.791962701696721894e+00,4.731369517046852380e+00,1.564568354756156854e+00
1.554394190887465221e+00,-1.523254252814130849e+00,1.869657606966383945e+00,2.791328387403289923e+00,4.731333123374318106e+00,1.564563874605750859e+00
1.554396119366934670e+00,-1.523037519598744005e+00,1.870050129891120516e+00,2.790692849656432717e+00,4.731296755556642530e+00,1.564559414871622423e+00
1.554398044931884826e+00,-1.522820097224583114e+00,1.870443173595519148e+00,2.790056138742918357e+00,4.731260416882185460e+00,1.564554976026990341e+00
1.554399967402479321e+00,-1.522602001293222651e+00,1.870836705833811342e+00,2.789418304949513594e+00,4.731224110639304925e+00,1.564550558545072745e+00
1.554401886598881122e+00,-1.522383247406236872e+00,1.871230694360228597e+00,2.788779398562985623e+00,4.731187840116363397e+00,1.564546162899088433e+00
1.554403802341252971e+00,-1.522163851165199810e+00,1.871625106929002191e+00,2.788139469870102971e+00,4.731151608601719794e+00,1.564541789562256202e+00
1.554405714449758280e+00,-1.521943828171686164e+00,1.872019911294363181e+00,2.787498569157632389e+00,4.731115419383733922e+00,1.564537439007793962e+00
1.554407622744559792e+00,-1.521723194027269743e+00,1.872415075210543289e+00,2.786856746712342403e+00,4.731079275750766477e+00,1.564533111708920954e+00
1.554409527045820472e+00,-1.521501964333525025e+00,1.872810566431773793e+00,2.786214052820999765e+00,4.731043180991177266e+00,1.564528808138855753e+00
1.554411427173703730e+00,-1.521280154692026709e+00,1.873206352712285971e+00,2.785570537770372113e+00,4.731007138393326095e+00,1.564524528770816492e+00
1.554413322948372311e+00,-1.521057780704348383e+00,1.873602401806311102e+00,2.784926251847227530e+00,4.730971151245571882e+00,1.564520274078021966e+00
1.554415214189988959e+00,-1.520834857972064746e+00,1.873998681468080685e+00,2.784281245338332322e+00,4.730935222836275322e+00,1.564516044533691197e+00
1.554417100718717082e+00,-1.520611402096749831e+00,1.874395159451825998e+00,2.783635568530455018e+00,4.730899356453798887e+00,1.564511840611041871e+00
1.554418982354719647e+00,-1.520387428679978559e+00,1.874791803511778543e+00,2.782989271710363255e+00,4.730863555386497943e+00,1.564507662783293007e+00
1.554420858918159842e+00,-1.520162953323324517e+00,1.875188581402169818e+00,2.782342405164823784e+00,4.730827822922735848e+00,1.564503511523663404e+00
