generation,piece1,piece2,piece3,piece4
58,157.79886006927103,205.83288075318333,107.67285258322359,124.53749533701965
59,157.79886006927103,205.83288075318333,107.67285258322359,124.53749533701965
60,157.79886006927103,205.83288075318333,107.67285258322359,124.53749533701965
61,157.79886006927103,205.83288075318333,107.67285258322359,124.53749533701965
62,157.79886006927103,205.83288075318333,107.67285258322359,124.53749533701965
63,157.79886006927103,205.83288075318333,107.67285258322359,124.53749533701965
64,157.79886006927103,205.83288075318333,107.67285258322359,124.53749533701965
65,157.79886006927103,205.83288075318333,107.67285258322359,124.53749533701965
66,157.79886006927103,205.83288075318333,107.67285258322359,124.53749533701965
67,157.79886006927103,205.83288075318333,107.67285258322359,124.53749533701965
68,157.79886006927103,205.83288075318333,107.67285258322359,124.53749533701965
69,157.79886006927103,205.83288075318333,107.67285258322359,124.53749533701965
70,157.79886006927103,205.83288075318333,107.67285258322359,124.53749533701965
71,157.79886006927103,205.83288075318333,107.67285258322359,124.53749533701965
72,157.79886006927103,205.83288075318333,107.67285258322359,124.53749533701965
73,157.79886006927103,205.83288075318333,107.67285258322359,124.53749533701965
74,157.79886006927103,205.83288075318333,107.67285258322359,124.53749533701965
75,157.79886006927103,205.83288075318333,107.67285258322359,124.53749533701965
76,157.79886006927103,205.83288075318333,107.67285258322359,124.53749533701965
77,157.79886006927103,205.83288075318333,107.67285258322359,124.53749533701965
78,157.79886006927103,205.83288075318333,107.67285258322359,124.53749533701965
79,157.79886006927103,205.83288075318333,107.67285258322359,124.53749533701965
80,157.79886006927103,205.83288075318333,107.67285258322359,124.53749533701965
81,157.79886006927103,205.83288075318333,107.67285258322359,124.53749533701965
82,157.79886006927103,205.83288075318333,107.67285258322359,124.53749533701965
83,157.79886006927103,205.83288075318333,107.67285258322359,124.53749533701965
84,157.79886006927103,205.83288075318333,107.67285258322359,124.53749533701965
85,157.79886006927103,205.83288075318333,107.67285258322359,124.53749533701965
86,157.79886006927103,205.83288075318333,107.67285258322359,124.53749533701965
87,157.79886006927103,205.83288075318333,107.67285258322359,124.53749533701965
88,157.79886006927103,205.83288075318333,107.67285258322359,124.53749533701965
89,157.79886006927103,205.83288075318333,107.67285258322359,124.53749533701965
90,157.79886006927103,205.83288075318333,107.67285258322359,124.53749533701965
91,157.79886006927103,205.83288075318333,107.67285258322359,124.53749533701965
92,157.79886006927103,205.83288075318333,107.67285258322359,124.53749533701965
93,157.79886006927103,205.83288075318333,107.67285258322359,124.53749533701965
94,157.79886006927103,205.83288075318333,107.67285258322359,124.53749533701965
95,157.79886006927103,205.83288075318333,107.67285258322359,124.53749533701965
96,157.79886006927103,205.83288075318333,107.67285258322359,124.53749533701965
97,157.79886006927103,205.83288075318333,107.67285258322359,124.53749533701965
98,157.79886006927103,205.83288075318333,107.67285258322359,124.53749533701965
99,157.79886006927103,205.83288075318333,107.67285258322359,124.53749533701965
